booksmith-ai	booksmith-ai	proof:v3:fhqcm	bash scripts/phase1-proof-v3-loop.sh fhqcm
booksmith-ai	booksmith-ai	proof:v3:plan	node scripts/proof-v3-repair-plan.mjs
booksmith-ai	booksmith-ai	proof:v3:plan:fhqcm	node scripts/proof-v3-repair-plan.mjs fhqcm
booksmith-ai	booksmith-ai	proof:visual	node scripts/visual-proof-inspector.mjs
booksmith-ai	booksmith-ai	proof:visual:fhqcm	node scripts/visual-proof-inspector.mjs fhqcm
booksmith-ai	booksmith-ai	publication:engine:v1	node scripts/publication-engine-v1.mjs
booksmith-ai	booksmith-ai	publication:engine:v1:fhqcm	node scripts/publication-engine-v1.mjs fhqcm
booksmith-ai	booksmith-ai	publication:gate:v2	node scripts/publication-gate-v2.mjs
booksmith-ai	booksmith-ai	publication:gate:v2:fhqcm	node scripts/publication-gate-v2.mjs fhqcm
booksmith-ai	booksmith-ai	quality:gate	node scripts/quality-gate.mjs
booksmith-ai	booksmith-ai	quality:gate:fhqcm	node scripts/quality-gate.mjs fhqcm
booksmith-ai	booksmith-ai	reference:intelligence:v1	node scripts/reference-intelligence-v1.mjs
booksmith-ai	booksmith-ai	reference:intelligence:v1:fhqcm	node scripts/reference-intelligence-v1.mjs fhqcm
booksmith-ai	booksmith-ai	registry:build	node scripts/build-federation-library-registry.mjs
booksmith-ai	booksmith-ai	render:latex	node scripts/render-latex.mjs
booksmith-ai	booksmith-ai	render:latex:fhqcm	node scripts/render-latex.mjs fhqcm
booksmith-ai	booksmith-ai	repair:proof	bash scripts/phase1-repair-loop.sh
booksmith-ai	booksmith-ai	repair:proof:fhqcm	bash scripts/phase1-repair-loop.sh fhqcm
booksmith-ai	booksmith-ai	repair:queue	node scripts/booksmith-proof-repair-engine.mjs
booksmith-ai	booksmith-ai	repair:queue:fhqcm	node scripts/booksmith-proof-repair-engine.mjs fhqcm queue
booksmith-ai	booksmith-ai	semantic:blocks	node scripts/semantic-block-parser-v1.mjs
booksmith-ai	booksmith-ai	semantic:blocks:fhqcm	node scripts/semantic-block-parser-v1.mjs fhqcm
booksmith-ai	booksmith-ai	server	bash scripts/booksmith-server.sh
booksmith-ai	booksmith-ai	server:fhqcm	BOOKSMITH_SLUG=fhqcm bash scripts/booksmith-server.sh
booksmith-ai	booksmith-ai	source-map:diagnostics	node scripts/proof-diagnostic-source-map.mjs
booksmith-ai	booksmith-ai	source-map:diagnostics:fhqcm	node scripts/proof-diagnostic-source-map.mjs fhqcm
booksmith-ai	booksmith-ai	source-map:latex	node scripts/build-latex-source-map.mjs
booksmith-ai	booksmith-ai	source-map:latex:fhqcm	node scripts/build-latex-source-map.mjs fhqcm
booksmith-ai	booksmith-ai	start	next start
booksmith-ai	booksmith-ai	studio	bash scripts/run-booksmith-studio.sh
booksmith-ai	booksmith-ai	studio:dev	npm run studio:figures:prepare && npm run dev
booksmith-ai	booksmith-ai	studio:figures:prepare	npm run figure:art-director:pipeline:fhqcm
booksmith-ai	booksmith-ai	system:health	node scripts/system-health-v1.mjs
booksmith-ai	booksmith-ai	typography:diagnostics:v4	node scripts/typography-diagnostics-v4.mjs
booksmith-ai	booksmith-ai	typography:diagnostics:v4:fhqcm	node scripts/typography-diagnostics-v4.mjs fhqcm
booksmith-ai	booksmith-ai	typography:v3	node scripts/typography-repair-v3.mjs
booksmith-ai	booksmith-ai	typography:v3:fhqcm	node scripts/typography-repair-v3.mjs fhqcm
